PopulationSize,Mutation,Crossing,Iteration,Decision
400,0.1,0.5,500,33.4134
800,0.1,0.5,500,25.4385
1200,0.1,0.5,500,22.8171
1600,0.1,0.5,500,21.5838
2000,0.1,0.5,500,22.3326
400,0.1,0.6,500,32.3445
800,0.1,0.6,500,27.959
1200,0.1,0.6,500,23.9829
1600,0.1,0.6,500,23.5388
2000,0.1,0.6,500,21.5873
400,0.1,0.7,500,34.7974
800,0.1,0.7,500,29.6245
1200,0.1,0.7,500,27.5421
1600,0.1,0.7,500,26.2994
2000,0.1,0.7,500,24.7549
400,0.1,0.8,500,41.4896
800,0.1,0.8,500,38.2468
1200,0.1,0.8,500,33.1443
1600,0.1,0.8,500,32.4115
2000,0.1,0.8,500,31.2756
400,0.1,0.5,1000,26.8133
800,0.1,0.5,1000,22.9968
1200,0.1,0.5,1000,23.8453
1600,0.1,0.5,1000,21.4382
2000,0.1,0.5,1000,21.0091
400,0.1,0.6,1000,27.0521
800,0.1,0.6,1000,23.3886
1200,0.1,0.6,1000,21.1823
1600,0.1,0.6,1000,22.4944
2000,0.1,0.6,1000,20.781
400,0.1,0.7,1000,29.5814
800,0.1,0.7,1000,25.2062
1200,0.1,0.7,1000,23.5414
1600,0.1,0.7,1000,20.7743
2000,0.1,0.7,1000,20.7329
400,0.1,0.8,1000,32.2808
800,0.1,0.8,1000,28.8521
1200,0.1,0.8,1000,24.1429
1600,0.1,0.8,1000,21.8459
2000,0.1,0.8,1000,21.5071
400,0.1,0.5,1500,26.2877
800,0.1,0.5,1500,23.4226
1200,0.1,0.5,1500,22.3331
1600,0.1,0.5,1500,21.0655
2000,0.1,0.5,1500,19.8383
400,0.1,0.6,1500,26.8558
800,0.1,0.6,1500,22.8778
1200,0.1,0.6,1500,22.0433
1600,0.1,0.6,1500,20.5506
2000,0.1,0.6,1500,18.9927
400,0.1,0.7,1500,26.0585
800,0.1,0.7,1500,21.6411
1200,0.1,0.7,1500,20.5693
1600,0.1,0.7,1500,21.7013
2000,0.1,0.7,1500,18.712
400,0.1,0.8,1500,28.0894
800,0.1,0.8,1500,26.0163
1200,0.1,0.8,1500,21.9879
1600,0.1,0.8,1500,20.7785
2000,0.1,0.8,1500,18.8989
400,0.1,0.5,2000,25.9586
800,0.1,0.5,2000,22.3087
1200,0.1,0.5,2000,22.2834
1600,0.1,0.5,2000,21.8206
2000,0.1,0.5,2000,20.5743
400,0.1,0.6,2000,26.7032
800,0.1,0.6,2000,23.1398
1200,0.1,0.6,2000,21.4499
1600,0.1,0.6,2000,19.2582
2000,0.1,0.6,2000,21.5222
400,0.1,0.7,2000,28.3464
800,0.1,0.7,2000,24.4313
1200,0.1,0.7,2000,21.8925
1600,0.1,0.7,2000,20.2995
2000,0.1,0.7,2000,18.3937
400,0.1,0.8,2000,28.2775
800,0.1,0.8,2000,23.6278
1200,0.1,0.8,2000,22.4841
1600,0.1,0.8,2000,20.1951
2000,0.1,0.8,2000,18.1295
400,0.2,0.5,500,26.4557
800,0.2,0.5,500,22.1179
1200,0.2,0.5,500,20.1398
1600,0.2,0.5,500,21.2155
2000,0.2,0.5,500,18.8291
400,0.2,0.6,500,28.092
800,0.2,0.6,500,24.7201
1200,0.2,0.6,500,21.7884
1600,0.2,0.6,500,21.1504
2000,0.2,0.6,500,20.4951
400,0.2,0.7,500,31.6535
800,0.2,0.7,500,26.1383
1200,0.2,0.7,500,24.8979
1600,0.2,0.7,500,23.3549
2000,0.2,0.7,500,22.4842
400,0.2,0.8,500,37.8366
800,0.2,0.8,500,34.4821
1200,0.2,0.8,500,31.2011
1600,0.2,0.8,500,31.0507
2000,0.2,0.8,500,28.5428
400,0.2,0.5,1000,23.6971
800,0.2,0.5,1000,20.8209
1200,0.2,0.5,1000,20.3163
1600,0.2,0.5,1000,18.2271
2000,0.2,0.5,1000,17.7312
400,0.2,0.6,1000,24.4425
800,0.2,0.6,1000,21.5586
1200,0.2,0.6,1000,20.4608
1600,0.2,0.6,1000,19.5719
2000,0.2,0.6,1000,17.6342
400,0.2,0.7,1000,25.1779
800,0.2,0.7,1000,21.8384
1200,0.2,0.7,1000,20.843
1600,0.2,0.7,1000,17.2635
2000,0.2,0.7,1000,17.5554
400,0.2,0.8,1000,29.5601
800,0.2,0.8,1000,24.5372
1200,0.2,0.8,1000,22.8275
1600,0.2,0.8,1000,19.1004
2000,0.2,0.8,1000,19.691
400,0.2,0.5,1500,24.7316
800,0.2,0.5,1500,20.894
1200,0.2,0.5,1500,19.8658
1600,0.2,0.5,1500,17.8882
2000,0.2,0.5,1500,18.2162
400,0.2,0.6,1500,23.6593
800,0.2,0.6,1500,22.7154
1200,0.2,0.6,1500,19.8115
1600,0.2,0.6,1500,19.0536
2000,0.2,0.6,1500,17.5654
400,0.2,0.7,1500,24.2823
800,0.2,0.7,1500,21.8783
1200,0.2,0.7,1500,19.726
1600,0.2,0.7,1500,17.0142
2000,0.2,0.7,1500,18.2078
400,0.2,0.8,1500,26.8754
800,0.2,0.8,1500,20.8888
1200,0.2,0.8,1500,20.2671
1600,0.2,0.8,1500,19.953
2000,0.2,0.8,1500,17.3491
400,0.2,0.5,2000,24.5797
800,0.2,0.5,2000,20.9872
1200,0.2,0.5,2000,19.1581
1600,0.2,0.5,2000,17.3754
2000,0.2,0.5,2000,18.2091
400,0.2,0.6,2000,24.3479
800,0.2,0.6,2000,21.4035
1200,0.2,0.6,2000,20.1752
1600,0.2,0.6,2000,18.5171
2000,0.2,0.6,2000,16.4814
400,0.2,0.7,2000,24.1687
800,0.2,0.7,2000,19.388
1200,0.2,0.7,2000,17.913
1600,0.2,0.7,2000,19.0828
2000,0.2,0.7,2000,17.5373
400,0.2,0.8,2000,24.219
800,0.2,0.8,2000,21.1504
1200,0.2,0.8,2000,18.8336
1600,0.2,0.8,2000,17.7324
2000,0.2,0.8,2000,18.3616
400,0.3,0.5,500,25.2486
800,0.3,0.5,500,21.6678
1200,0.3,0.5,500,18.5702
1600,0.3,0.5,500,18.5648
2000,0.3,0.5,500,17.2567
400,0.3,0.6,500,25.1002
800,0.3,0.6,500,23.7926
1200,0.3,0.6,500,21.5876
1600,0.3,0.6,500,18.7033
2000,0.3,0.6,500,18.5515
400,0.3,0.7,500,29.2619
800,0.3,0.7,500,25.3842
1200,0.3,0.7,500,23.1079
1600,0.3,0.7,500,22.1482
2000,0.3,0.7,500,20.8025
400,0.3,0.8,500,37.4906
800,0.3,0.8,500,31.936
1200,0.3,0.8,500,32.1461
1600,0.3,0.8,500,30.7926
2000,0.3,0.8,500,29.1685
400,0.3,0.5,1000,22.4651
800,0.3,0.5,1000,20.9955
1200,0.3,0.5,1000,17.8527
1600,0.3,0.5,1000,17.9375
2000,0.3,0.5,1000,16.6721
400,0.3,0.6,1000,23.0332
800,0.3,0.6,1000,20.7198
1200,0.3,0.6,1000,18.2294
1600,0.3,0.6,1000,17.1241
2000,0.3,0.6,1000,16.2909
400,0.3,0.7,1000,24.8001
800,0.3,0.7,1000,21.1911
1200,0.3,0.7,1000,20.3323
1600,0.3,0.7,1000,17.8375
2000,0.3,0.7,1000,15.9262
400,0.3,0.8,1000,26.6568
800,0.3,0.8,1000,23.4699
1200,0.3,0.8,1000,21.201
1600,0.3,0.8,1000,18.733
2000,0.3,0.8,1000,17.6743
400,0.3,0.5,1500,22.8641
800,0.3,0.5,1500,20.1342
1200,0.3,0.5,1500,18.2245
1600,0.3,0.5,1500,16.1444
2000,0.3,0.5,1500,16.5589
400,0.3,0.6,1500,21.5046
800,0.3,0.6,1500,19.9726
1200,0.3,0.6,1500,17.511
1600,0.3,0.6,1500,16.9033
2000,0.3,0.6,1500,15.2251
400,0.3,0.7,1500,20.7914
800,0.3,0.7,1500,17.8458
1200,0.3,0.7,1500,16.9861
1600,0.3,0.7,1500,17.4985
2000,0.3,0.7,1500,14.5037
400,0.3,0.8,1500,22.9153
800,0.3,0.8,1500,20.2035
1200,0.3,0.8,1500,16.877
1600,0.3,0.8,1500,17.7161
2000,0.3,0.8,1500,16.8625
400,0.3,0.5,2000,24.1254
800,0.3,0.5,2000,20.5891
1200,0.3,0.5,2000,19.2465
1600,0.3,0.5,2000,18.4782
2000,0.3,0.5,2000,15.9053
400,0.3,0.6,2000,22.3616
800,0.3,0.6,2000,19.3082
1200,0.3,0.6,2000,17.8525
1600,0.3,0.6,2000,17.6817
2000,0.3,0.6,2000,15.74
400,0.3,0.7,2000,21.9863
800,0.3,0.7,2000,19.2903
1200,0.3,0.7,2000,16.8552
1600,0.3,0.7,2000,16.4912
2000,0.3,0.7,2000,17.162
400,0.3,0.8,2000,22.6714
800,0.3,0.8,2000,18.1755
1200,0.3,0.8,2000,18.4802
1600,0.3,0.8,2000,15.9352
2000,0.3,0.8,2000,16.1141
